spotify_id,name,artists,album_release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
540k1IRl5UPMhVhpu1LRQ3,Sucker (from the series Arcane League of Legends),"Marcus King, Arcane, League of Legends",2024-11-08,0.479,0.751,-5.794,0.058,0.0192,1.89e-05,0.111,0.568,148.0
26y2gBrbiFJIOUjIlSQfdH,Vida De Rock,"Duki, Milo j",2024-10-31,0.621,0.59,-7.012,0.0611,0.356,0.0,0.121,0.754,135.008
6CzozhzNVBfxmUthlZiYm4,DUELE,"YSY A, Emirsito",2024-11-11,0.769,0.453,-8.893,0.188,0.364,7.94e-06,0.112,0.154,131.991
0Cs2ANiGsCOQLKnCrNJ6hA,La_Playlist.mpeg,Emilia,2024-06-20,0.753,0.836,-2.584,0.0568,0.0184,0.0,0.11,0.891,139.949
4qUmNOnS81p8wrMdBHRbS3,Heart on the Window (with WENDY),"Jin, WENDY",2024-11-19,0.615,0.865,-6.114,0.0522,0.0536,0.0,0.738,0.52,145.999
0FLwRAV57ntFQHKrV8jaPa,Derdo,Ezhel,2024-11-21,0.806,0.65,-7.22,0.0745,0.684,0.0,0.208,0.554,116.058
5H11d1uZ08z5gEb7xMPnUq,Tvoje ruže,Sima,2024-03-27,0.582,0.801,-4.737,0.133,0.173,0.0,0.199,0.325,140.916
3rukzF9QVHpdIUDjYpczRX,Molotov,"Denis Ramniceanu, Babasha, Ministerul Manelelor",2024-05-10,0.727,0.795,-6.513,0.0512,0.118,0.00147,0.0927,0.766,149.967
173bCrkGlLxKU4YnzByhhS,Q.Q,"Mr. Saik, Italian Somali",2024-11-22,0.78,0.778,-6.269,0.151,0.0468,0.000167,0.0923,0.454,113.004
2E10zu3i9zLkc5IybgYIDb,Codigos,Nory Dolla,2024-08-16,0.479,0.452,-9.838,0.447,0.311,0.0,0.0904,0.146,82.795
58dt55VkE8YEosFfseVPZ3,Diamond,phvrien,2024-11-22,0.654,0.58,-3.596,0.131,0.0487,0.00254,0.68,0.386,124.066
1cRtvrg3obMXE8ls9Zxv1G,Party,"BIANCO VELEZ, DIMA & LALO",2024-10-04,0.707,0.855,-3.459,0.303,0.257,0.0,0.0883,0.677,179.883
5oSUmLelhXItguqPQ0Qn2b,Falling,Jin,2024-11-19,0.662,0.708,-4.626,0.0338,0.038,0.00023,0.0483,0.607,127.988
6je5cTal6PyeITNrOzkCoS,Welcome to the Show,DAY6,2024-03-18,0.595,0.758,-4.488,0.035,0.0378,0.0,0.0561,0.377,132.01
1yZIX0bRGjVH6CqyUW8Dkw,STORIE BREVI,"Tananai, Annalisa",2024-10-17,0.833,0.671,-4.993,0.109,0.0638,0.0,0.102,0.934,129.991
2c3MBL8fpnhzBGHFJWQ8yU,Diana (with Hamza),"DJ Snake, Hamza",2024-11-13,0.694,0.536,-7.439,0.0923,0.254,0.00305,0.184,0.118,105.968
6IcsbETuviVu6UTiBTcxY4,Imagine,Carbonne,2024-05-03,0.788,0.627,-9.072,0.0751,0.693,0.0,0.232,0.909,118.093
2SbK2yP4FlKvl4s2WTBZni,Milt Se Tuntuu,Elastinen,2024-11-22,0.436,0.805,-4.648,0.358,0.0899,0.0,0.137,0.309,180.118
7Mdo6vP2bWi0qjdtb3NEaG,Amigos y Enemigos - Remix,NandoVVS,2024-08-22,0.779,0.695,-4.939,0.136,0.234,0.0,0.104,0.322,114.951
0Y1sHUoJE41isBm1tmSiTv,Не для меня,"Egor Kreed, Платина, Voskresenskii",2024-11-22,0.779,0.571,-7.205,0.148,0.41,0.0,0.13,0.701,148.045
3eWSBuOcPKXcIQhW3ONRcQ,Дым,"Egor Kreed, JONY",2024-11-22,0.625,0.49,-7.112,0.0595,0.601,0.0,0.104,0.199,96.08
7f1tZNtc1t456ybBsl5sfK,Pula Fora - Ao Vivo,"Murilo Huff, Hugo & Guilherme",2024-08-22,0.727,0.837,-4.139,0.118,0.451,0.0,0.463,0.866,137.983
6CvN7pzJNXSLKUtm0zX5UO,Ndisize (feat. Ami Faku) - Radio Edit,"Caiiro, Ami Faku",2024-07-05,0.718,0.699,-8.03,0.0408,0.00803,0.0991,0.138,0.424,116.978
4zBNmCPinwFF4mGgN8WqfN,Kiki,Trabo,2024-11-08,0.574,0.603,-9.675,0.358,0.28,0.0116,0.107,0.566,85.035
1Wh2SwNbe3OQCoskPc3fD8,"Tam słońce, gdzie my",Wiktor Dyduła,2024-06-13,0.757,0.787,-5.984,0.0404,0.527,7.68e-05,0.111,0.784,128.035
3qD07JJOPiyqjiQeg1wDK3,Szum,Kaśka Sochacka,2024-11-15,0.544,0.703,-8.914,0.0362,0.0439,0.00347,0.0851,0.455,129.979
3QBxB5xZL0yeRDr8gZym4r,TBT,"LH, Robi Guid, Valentino GRM",2024-09-26,0.475,0.621,-6.467,0.428,0.411,0.0,0.307,0.392,64.865
5KEySaLmNVT2DjB7qgKsHX,Lele,Clayrocksu,2024-05-31,0.495,0.908,-4.107,0.049,0.00319,0.0,0.155,0.293,96.008
7uFi3inTvFSPIJPnalgmI3,If It’s Okay (feat. David Guetta & Davido),"Nicki Minaj, David Guetta, Davido",2024-11-22,0.762,0.643,-7.303,0.0608,0.174,7.98e-05,0.17,0.643,105.063
2vt1UH1cjwwDFCeo7qS5VN,Dear ex-girlfriends,Koresawa,2024-09-04,0.651,0.844,-4.663,0.0365,0.0417,0.0,0.209,0.759,121.974
3vcyIbrdxudWsWEDLU99KO,NUN SACC' PERDERE,Geolier,2024-11-22,0.453,0.623,-5.764,0.32,0.477,0.0,0.0962,0.34,86.06
6s5DJ2zRf9T3A2VidCCHxZ,SI STAT’ TU,"Geolier, Dat Boi Dee, Poison Beatz, Geenaro & Ghana Beats",2024-06-07,0.429,0.635,-8.056,0.0956,0.188,0.0,0.117,0.336,140.635
7zPIPJKmtJxK6CpVOntCxL,Boucan,"KeBlack, Franglish",2024-11-22,0.7,0.746,-6.301,0.206,0.551,0.0,0.677,0.683,127.915
4lkyaoULeHxX2ga6BGlqmw,Aucune attache,KeBlack,2024-11-22,0.826,0.711,-6.67,0.278,0.431,0.000236,0.158,0.488,93.006
1KBVkz8PGjKlMwqCmuKSGN,Quickie,Dei V,2024-11-07,0.658,0.67,-6.854,0.0852,0.527,0.00682,0.12,0.475,97.979
6lPDNbwN6i9Ttxc3JCuvR9,GLOBAL WARRIORS,"Universal King, Hussein Fatal",2024-11-10,0.59,0.547,-11.319,0.34,0.00226,0.000234,0.338,0.409,179.715
5rRYtMoEDY3HrvV13jcsom,Yo Te Quiero (feat. Chris Jonex),"Bimbo el Oso Mañoso, Big Metra, KIO ""El Historiador"", Chris Jonex",2024-10-25,0.805,0.698,-7.078,0.13,0.349,4.4e-06,0.0743,0.769,112.026
1vfFpNVQkuEhGIv8ntr113,IceWear,"Yzomandias, P T K",2024-11-22,0.697,0.84,-5.978,0.0975,0.0205,4.95e-06,0.278,0.501,174.059
6tuLAQURf4P97dD750iTaJ,CASI ALGO,"Blessd, Ovy On The Drums",2024-09-05,0.682,0.827,-4.898,0.0636,0.511,1.11e-05,0.416,0.471,91.027
3RpbyzSdjlKeEEnVbzhCRE,Amigos Y Enemigos Almighty,Membrillito,2024-08-21,0.813,0.688,-5.038,0.123,0.204,0.0,0.105,0.32,114.869
5SM0lf4a6zssiPqMJZSrBY,Одиноко,Egor Kreed,2024-11-22,0.479,0.355,-15.846,0.217,0.892,0.00032,0.0942,0.436,82.266
3PAqlai6a6w4ptGRFhfEqn,Burzi Pari,"Marso, SST",2024-10-30,0.681,0.751,-4.878,0.0374,0.169,2.33e-05,0.152,0.397,89.97
0dYNnBMNujBe6v9JeU5NC5,wacced out murals,Kendrick Lamar,2024-11-21,0.715,0.478,-10.85,0.486,0.279,0.0,0.153,0.51,164.012
4kGlAkGC58crFvxfegBhNs,squabble up,Kendrick Lamar,2024-11-21,0.878,0.683,-5.562,0.192,0.0275,0.0,0.0793,0.721,103.951
45DB3yqxYGAnKN3YmLWbAX,Running Wild,Jin,2024-11-19,0.487,0.711,-4.22,0.0322,0.000175,0.0,0.152,0.317,146.921
0d9BfcBk5iBUC78VmTXGgY,man at the garden,Kendrick Lamar,2024-11-21,0.825,0.332,-10.182,0.308,0.531,0.000127,0.11,0.599,91.932
6CG7UePo6mydQbNr4tlkp8,hey now (feat. dody6),"Kendrick Lamar, Dody6",2024-11-21,0.813,0.348,-8.835,0.094,0.00319,0.0028,0.4,0.187,101.991
75bsrBtmM57lhi55yOfzBL,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",2024-11-21,0.63,0.468,-6.823,0.542,0.0696,0.0,0.424,0.532,200.24
1FuJwAXJv0WsPXcYMaAUs8,reincarnated,Kendrick Lamar,2024-11-21,0.845,0.78,-5.382,0.258,0.0605,0.0,0.366,0.741,91.116
442ifpYGFKfyz8PohOQEVd,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)","Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",2024-11-21,0.802,0.536,-8.015,0.123,0.0529,4.24e-06,0.13,0.677,83.504
1x95pL62pLkxgPprH9ONkQ,heart pt. 6,Kendrick Lamar,2024-11-21,0.673,0.659,-7.728,0.363,0.249,1.49e-06,0.102,0.563,81.187
10tTkKxYPgeYkuMwGnqRND,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",2024-11-21,0.896,0.29,-9.071,0.146,0.00345,1.64e-05,0.172,0.276,100.03
70cI4Pl8YjQXmIfpLeqm76,"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar, Hitta J3, YoungThreat, Peysoh",2024-11-21,0.75,0.557,-7.314,0.429,0.126,0.0,0.0917,0.729,180.123
